studytime;failures;schoolsup;famsup;paid;activities;higher;internet;absences;G1;G2;G3
2;0;1;0;0;0;1;0;4;0;11;11
2;0;0;1;0;0;1;1;2;9;11;11
2;0;1;0;0;0;1;1;6;12;13;12
3;0;0;1;0;1;1;1;0;14;14;14
2;0;0;1;0;0;1;0;0;11;13;13
2;0;0;1;0;1;1;1;6;12;12;13
2;0;0;0;0;0;1;1;0;13;12;13
2;0;1;1;0;0;1;0;2;10;13;13
2;0;0;1;0;0;1;1;0;15;16;17
2;0;0;1;0;1;1;1;0;12;12;13
2;0;0;1;0;0;1;1;2;14;14;14
3;0;0;1;0;1;1;1;0;10;12;13
1;0;0;1;0;1;1;1;0;12;13;12
2;0;0;1;0;0;1;1;0;12;12;13
3;0;0;1;0;0;1;1;0;14;14;15
1;0;0;1;0;0;1;1;6;17;17;17
3;0;0;1;0;1;1;1;10;13;13;14
2;0;1;1;0;1;1;0;2;13;14;14
1;3;0;1;1;1;1;1;2;8;8;7
1;0;0;0;0;1;1;1;6;12;12;12
2;0;0;0;0;0;1;1;0;12;13;14
1;0;0;1;1;0;1;1;0;11;12;12
2;0;0;0;0;1;1;1;0;12;13;14
2;0;0;1;0;1;1;1;2;10;10;10
3;0;1;1;0;1;1;1;2;10;11;10
1;0;0;1;0;0;1;1;6;10;11;12
1;0;0;1;0;0;1;1;8;11;12;12
1;0;0;0;0;0;1;1;0;11;11;11
2;0;1;1;1;1;1;1;2;12;12;13
2;0;0;1;1;1;1;1;4;12;11;12
2;0;0;1;1;0;1;1;0;10;11;11
2;0;0;1;0;1;1;1;2;15;15;15
2;0;0;1;0;1;1;1;0;13;14;15
2;0;0;0;0;1;1;1;0;13;12;12
1;0;0;1;0;0;1;1;4;12;12;12
1;0;0;1;0;1;1;0;4;11;11;11
3;0;0;1;0;1;1;1;0;14;14;14
3;0;0;1;0;1;1;1;4;13;13;13
3;0;1;1;0;1;1;1;2;11;12;12
1;0;1;1;0;1;1;0;8;14;13;12
2;0;0;1;0;1;1;1;16;11;11;10
1;0;0;1;0;0;1;1;8;10;11;11
2;0;0;1;0;1;1;1;0;14;15;15
1;0;1;1;0;0;1;1;0;9;10;10
2;1;1;0;0;1;1;1;14;10;11;11
2;0;1;1;1;1;1;1;4;10;11;11
2;0;0;1;0;0;1;1;6;13;12;13
4;0;0;0;0;1;1;1;2;17;17;17
2;0;0;1;0;0;1;0;4;11;12;13
2;0;1;1;0;1;1;1;2;13;12;12
2;0;0;1;0;0;1;1;0;14;13;13
2;0;0;1;0;0;1;1;0;16;14;16
1;0;0;0;0;0;1;0;4;10;9;9
1;0;1;1;0;0;1;1;0;13;12;12
1;0;0;0;0;0;1;1;0;13;12;13
2;0;0;0;0;1;1;1;2;12;13;12
2;0;0;1;0;1;1;1;0;15;14;15
2;0;0;1;0;1;1;0;8;15;15;16
2;0;1;1;0;1;1;1;0;14;13;14
2;0;0;1;1;0;1;1;2;16;15;16
2;0;0;1;0;1;1;0;0;17;16;16
1;0;1;1;0;1;1;1;0;10;10;16
2;0;1;0;0;1;1;1;0;13;13;10
3;0;1;1;0;1;1;1;0;14;13;13
2;0;1;0;0;1;1;1;0;13;12;12
2;0;0;1;0;1;1;1;2;16;15;16
4;0;0;1;0;1;1;1;0;11;12;12
4;0;1;1;0;0;1;1;0;10;9;10
2;0;1;1;0;0;1;1;0;11;10;11
4;0;0;1;0;0;1;1;6;15;15;15
4;0;0;1;0;0;1;1;2;13;11;11
4;0;0;0;0;0;1;1;0;11;9;10
2;0;1;1;0;0;1;1;2;13;11;11
1;0;0;0;0;1;1;0;0;13;13;14
2;0;1;1;0;1;1;1;4;11;11;11
2;0;0;1;0;1;1;1;0;11;11;11
4;0;0;0;0;1;1;1;0;12;11;11
4;0;0;0;0;0;1;1;1;13;13;13
1;3;1;1;0;1;0;1;0;9;9;10
2;0;0;1;0;0;1;1;14;12;11;11
1;0;1;1;0;1;1;1;0;11;11;12
3;0;1;0;0;0;1;1;2;10;9;9
2;0;0;1;0;0;1;1;4;12;11;11
2;0;0;0;1;1;1;1;2;13;12;13
2;0;0;1;0;1;1;1;2;13;12;12
2;0;0;0;0;0;1;1;4;12;11;12
2;0;0;1;0;0;1;0;6;13;11;11
3;0;0;1;0;1;1;1;4;15;15;15
2;0;0;0;0;1;1;1;6;12;10;11
2;0;0;1;0;0;1;0;6;9;9;10
3;0;0;1;0;0;1;1;2;9;11;11
1;0;0;0;0;1;1;1;6;14;13;13
2;0;1;1;0;0;1;0;0;12;13;12
2;0;0;1;0;1;1;1;2;13;14;14
4;0;0;1;0;1;1;1;2;11;12;12
4;0;1;1;1;1;1;1;4;13;13;13
1;0;1;1;1;1;1;1;6;9;11;11
2;0;0;1;0;0;1;0;0;13;12;12
1;0;0;0;0;1;1;1;4;12;13;13
3;0;1;1;0;0;1;1;2;12;13;13
1;0;1;1;0;1;1;1;12;9;9;8
3;0;0;1;0;1;1;1;0;16;16;16
1;0;0;1;1;1;1;1;2;12;13;12
2;0;1;1;0;0;1;1;16;11;10;10
2;0;0;1;0;1;1;1;0;16;16;16
4;0;1;0;0;0;1;0;10;10;10;10
4;0;1;1;0;0;1;1;4;10;10;10
3;0;0;1;0;1;1;1;4;13;14;14
4;0;0;1;0;1;1;1;8;12;10;11
3;0;0;1;0;1;1;1;2;15;15;14
1;0;0;0;0;1;1;1;4;13;14;14
3;0;1;1;0;1;1;1;4;11;11;11
2;1;1;0;0;1;1;1;12;8;10;10
1;0;0;0;0;0;1;1;10;18;17;18
2;0;0;0;0;1;1;1;4;10;9;10
2;0;0;1;0;1;1;1;6;16;14;14
2;0;0;1;0;1;1;0;4;16;15;16
1;0;0;0;0;1;1;1;6;14;14;15
2;1;0;1;0;1;1;1;14;12;11;11
1;0;0;0;0;0;1;1;2;14;13;14
2;0;0;0;0;0;1;1;0;14;14;14
4;0;0;1;0;1;1;1;6;14;13;13
2;0;0;1;0;1;1;1;2;14;12;13
1;0;0;1;0;1;1;1;4;12;13;13
2;0;0;0;0;0;1;1;0;12;11;11
1;0;1;0;0;0;1;1;2;9;9;9
